Mecanismo que origina la comisión,Quien invita o que UR solicita,Unidad Responsable que genera la nota de viaje area sustantiva,Tipo de representacion requerida,Numero de comision,Servidor publico comisionado,Cargo,Grupo jerarquico,Tipo de viaje,No de acuerdo de autorización del pleno,No de oficio de comisión,Pais de origen,Estado de origen,Ciudad de origen,Pais de destino,Estado o equivalente de destino,Ciudad de destino,Tarifa diaria de viaticos por dia,Moneda,Tema,Tipo de comisión,Nombre del evento o actividad principal a la que se asiste,URL del evento,Fecha de inicio de participacion en el evento o actividad,Fecha de fin de participacion en el evento o actividad,Motivo de la comision,Antecedentes,Actividades realizadas,Resultados obtenidos,Contribuciones para el IFAI,Link al comunicado,Institucion que cubre pasaje,Tipo de pasaje,Aerolinea de vuelo de ida,Numero de vuelo de ida,Aerolineas de vuelo de regreso,Numero de vuelo de regreso,Fecha de inicio de la comision,Fecha de termino de la comision,Gasto por concepto de pasajes en MN,Gasto por concepto de viaticos en MN,Institucion que cubre hospedaje,Nombre del hotel,Fecha de entrada,Fecha de salida,Costo total del hospedaje,Monto comprobado de viaticos,Monto sin comprobacion,Monto de viaticos devueltos,Observaciones
Requerimiento de UR,Secretaria de Protección de Datos,Dirección General de Verificación,Técnico,2013.N.0004,SERGIO MARTINEZ MENDOZA,JEFE DE DEPARTAMENTO DE VERIFICACION DE MATERIA DE DATOS PERSONALES D,OC1,Nacional,No disponible,IFAI/SPDP/DGV/063/2013,México,Distrito Federal,Ciudad de México,México,Quintana Roo,Cancún y Playa del Carmen,980,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Notificación,Notificación de oficios ,No disponible,29/01/2013,30/01/2013,LLEVAR A CABO LA NOTIFICACION DE LOS OFICIOS IFAI/SPDP/DGV/060/2013; IFAI/SPDP/DGV/061/2013; IFAI/SPDP/DGV/062/2013; TODOS DE FECHA VEINTINUEVE DE ENERO DEL DOS MIL TRECE; A LOS REPRESENTANTES LEGALES DEL HOTEL SANDOS CARACOL DE LA CADENA SANDOS HOTELS & RESORTS; DE LA EMPRESA VTI CANCUN Y DE LA EMPRESA PTI México; MISMAS QUE TIENEN SU DOMICILIO EN LAS CIUDADES DE CANCUN Y PLAYA DEL CARMEN; Y LAS CUALES SON SEÑALADAS EN LA DENUNCIA PRESENTADA EN ESTE INSTITUTO POR UN PARTICULAR; COMO RESPONSABLES DE HABER VULNERADO SU DERECHO A LA PROTECCION DE DATOS PERSONALES PREVISTO EN LA LEY FEDERAL DE PROTECCION DE DATOS PERSONALES EN POSESION DE LOS PARTICULARES.,No disponible,Notificación de oficios a responsables de sistemas de datos personales,No disponible,No disponible,No disponible,IFAI,Aéreo,Interjet,2314,Interjet,2307,29/01/2013,30/01/2013,3505,1416,IFAI,María de Lourdes,29/01/2013,30/01/2013,500,1416,15,909,No aplica
Invitación ,Conferencia Internacional de Autoridades de Protección de Datos y Privacidad,Oficina de la comisionada JPM,Alto nivel,2012.I.0001,JACQUELINE PESCHARD MARISCAL,COMISIONADA ,HB1,Internacional,ACT-PUB/15/08/2012.04.06,IFAI/JPM/0130/2012,México,Distrito Federal,Ciudad de México,Uruguay,Maldonado,Punta del Este,450,USD,Normatividad de Datos Personales,Participación en evento publico,"X ENCUENTRO IBEROAMERICANO DE PROTECCION DE DATOS PERSONALES Y ""34A. CONFERENCIA INTERNACIONAL DE AUTORIDADES DE PROTECCION DE DATOS Y PRIVACIDAD""",No disponible,No aplica,No aplica,"PARTICIPAR EN EL X ENCUENTRO IBEROAMERICANO DE PROTECCION DE DATOS PERSONALES Y EN LA ""34A. CONFERENCIA INTERNACIONAL DE AUTORIDADES DE PROTECCION DE DATOS Y PRIVACIDAD""; QUE TENDRA LUGAR DEL 22 AL 26 DE OCTUBRE DE 2012 EN PUNTA DEL ESTE; URUGUAY. VIAJE CANCELADO",No disponible,No aplica. Viaje cancelado,Viaje cancelado por análisis de la iniciativa de la reforma constitucional para dotar al IFAI de autonomía y ampliar sus facultades,No aplica. Viaje Cancelado,No disponible,No disponible,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,12544.2,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,12544.2,Viaje cancelado
Requerimiento de UR,DIRECCION GENERAL DE CAPACITACION; PROMOCION Y RELACIONES INSTITUCIONALES,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0002,ANTOLIN SOTELO SANCHEZ,SUBDIRECTOR DE ESTADOS Y MUNICIPIOS,NC3,Nacional,No disponible,IFAI/SG/DGCPRI/039/2013,México,Distrito Federal,Ciudad de México,México,Hidalgo,Pachuca,1250,MXP,Capacitación y Cultura de la Transparencia,Participación en evento publico,"CONFERENCIA MAGISTRAL ""LA PROTECCION DE LOS DATOS PERSONALES. EL NUEVO RETO""",No disponible,28/01/2013,28/01/2013,"APOYAR Y COORDINAR LA PARTICIPACION DEL COMISINADO DEL IFAI EN LA CONFERENCIA MAGISTRAL ""LA PROTECCION DE LOS DATOS PERSONALES. EL NUEVO RETO""; EN EL MARCO DEL DIA INTERNACIONAL DE LA PROTECCION DE DATOS PERSONALES; ORGANIZADO POR EL INSTITUTO DE ACCESO A LA INFORMACION PUBLICA GUBERNAMENTAL DEL ESTADO DE HIDALGO.",No disponible,Coordinar la participación del comisionado en el evento del IAIPH en conmemoración al día internacional de la protección de datos personales,Se promovió la protección de datos personales en posesión de privados con el órgano garante del Estado de Hidalgo,El IFAI asistió al evento de protección de datos personales; contribuyendo al tema,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,28/01/2013,28/01/2013,329,225,No aplica,No aplica,No aplica,No aplica,No aplica,554,0,71,No aplica
Invitación,"El Presidente del Consejo para la Transparencia; extendió una invitación al Comisionado Presidente GLR
",Oficina de la Comisionada MEPJZ,Alto Nivel,2013.I.0013,MARIA ELENA PEREZ-JAEN ZERMEÑO,COMISIONADA,HB1,Internacional,ACT-PUB/03/04/2013.03.01,"IFAI/Comisionados/Ponencias/087/13
",México,Distrito Federal,Ciudad de México,Chile,Santiago de Chile,Santiago de Chile,450,USD,Asuntos Internacionales,Participación en evento publico,V Encuentro RTA y IV Seminario Internacional de Transparencia “DEL DICHO AL HECHO: como pasar del discurso publico a la acción”,No disponible,23/04/2013,25/04/2013,"PRESIDIR EL V ENCUENTRO DE LA RED ""DE TRANSPARENCIA Y ACCESO A LA INFORMACION"" (RTA); ASI COMO PARTICIPAR EN EL ""SEMINARIO INTERNACIONAL 2013; DEL DICHO AL HECHO; DEL DISCURSO PUBLICO A LA ACCION"" AMBOS EVENTOS ORGANIZADOS POR EL CONSEJO PARA LA TRANSPARENCIA DE CHILE.","El 20 de abril de 2009 se suscribió en la Ciudad de Santiago de Chile; el Convenio de Cooperación en Materia de Transparencia y Acceso a la Información entre el CPLT de la Republica de Chile y el IFAI.
","El día 22 de abril; la Comisionada María Elena Perez-Jaen Zermeño y el Director General de Coordinación y Vigilancia de la Administración Publica Federal (DGCV); José Luis Marzal Ruiz; sostuvieron una reunión de trabajo en las oficinas del CPLT; con el señor Raúl Ferrada; Director General del CPLT y representante de la Secretaria Ejecutiva de la TA y la Señora Katerina Kilwadenko; adscrita al área de Comunicaciones de la Dirección General del CPLT; a efecto de coordinar los trabajos de la RTA y las participaciones correspondientes. Adicionalmente; se llevo a cabo una reunión informal con los representantes de Gobierno de la Ciudad Autónoma de Buenos Aires; en su carácter  de aspirantes a integrarse a la red; en la que se trataron los objetivos y algunos de los trabajos que actualmente se llevan a cabo. Por parte del gobierno de la Ciudad Autónoma de Buenos Aires; participaron los siguientes funcionarios: Álvaro González; Subsecretario de Asuntos Públicos; Ignacio Cámara; Gerente Operativo de Alertas Oportunas; Gabriel Buenos; Gerente Operativo de Acceso a la Información. El d{la 23 de abril; se iniciaron las actividades del ""V Encuentro de la RTA"". Durante este evento se desarrollaron los siguientes temas:
1.- Presentación; Formalización e inclusión de nuevos miembros. 
El Director General del CPLT de Chile; Raúl Ferrada y la Comisionada del IFAI; María Elena Perez-Jaen Zermeño; dieron la bienvenida a los miembros de la RTA; así como a los representantes de instituciones; organismos y/o entidades publicas. Por su parte; la Comisionada Mia Elena Perez-Jaen Zermeño destaco los logros del primer trimestre del 2013; sobre el desarrollo del documento de posicionamiento regional; en el que se definieron las acciones para alcanzar el objetivo primordial de la RTA. Asimismo; cada participante postulante hizo una presentación en la que describieron su institución y/u organismo y el marco normativo que los rige. Además; realizaron comentarios acerca de los desafíos institucionales que enfrentan en materia de transparencia y acceso a la información; identificaron las temáticas de interés para el intercambio con la RTA y; finalmente; se hizo una descripción general de la disponibilidad de sus recursos humanos; económicos y tecnológicos; entre otros; con los que podrían dar apoyo a los trabajos en la RTA. De la misma manera ; los representantes de la Dirección Provisional de Anticorrupción y Transparencia del Sector Publico de la Provincia de Santa Fe; Argentina; en su carácter de miembros asolados de la RTA; así como la Contraloría General de la Unión de Brasil; la Defensora del Pueblo del Perú; la Unidad de Acceso a la Información Publica de Uruguay; todos miembros plenos de la RTA; además del CPLT y el IFAI; en su calidad de Secretaria Ejecutiva y Presidencia; respectivamente; aceptaron por unanimidad el ingreso a la TA de las siguientes instituciones; organismos y/o entidades publicas: El Instituto de Acceso a la Información Publica de El Salvador y la Defensoria del Pueblo de Ecuador; como Miembros Plenos; El Gobierno de la Ciudad Autónoma de Buenos Aires; representado por la subsecretaria de Asuntos Públicos; la Comisión de Alto Nivel Anticorrupción de la Presidencia del Consejo de Ministros de Perú; y la Subsecretaria de Transparencia y Anticorrupción de El Salvador; como Miembros Asociados; y la Fundación Internacional para Iberoamérica de Administración y Políticas Publicas (FIIAP) del Programa de Cooperación Regional Eurosocial de la Unión Europea; como Miembro Adherente. Es importante destacar que; en el encuentro participaron como oyentes en la reunión; representantes de la alianza Regional por la Libre Expresión e Información Publica de Honduras y de la Secretaria de Transparencia de Colombia.
2.-Presentacion de la versión final del ""Mapa Estratégico"" con indicadores y validación de herramientas de seguimiento.
En este punto se expuso la ""Estrategia de trabajo de la RTA 2013-2015""; y el sistema de seguimiento como una forma de recordar los compromisos adquiridos en torno al proceso de planificación estratégica realizado y; así; formalizar el proceso de seguimiento de compromisos que reportara los niveles de cumplimiento de esta.
De igual manera; en el encuentro se aprobó el ""Mapa Estratégico de la RTA"" con la definición de responsabilidades según los objetivos; y se hicieron reuniones bilaterales con cada país para formalizar sus indicadores y metas.
En seguimiento a lo anterior; cada uno de los países miembros (Brasil; Chile; Uruguay; Perú y México) expusieron sus indicadores bajo los cuales se medirá el cumplimiento de sus metas dentro de la RTA.
Como ejemplo de lo anterior; México; como coordinador del grupo de ""Jurisprudencia""; coordinado por el IFAI; y por conducto del Director General de Coordinación y Vigilancia de la Administración Publica Federal; José Luis Marzal Ruiz; Preciso que los indicadores del grupo son los siguientes:
Porcentaje de implementación de un plan de relacionamiento con los stakeholders.
Porcentaje de implementación de un plan de trabajo con stakeholders en la promoción y fortalecimiento del derecho de acceso a la información publica.
Participación del grupo.
Conclusiones de debates temáticos.
Consultas al vinculo de jurisprudencia.
Actualización de la base de datos de jurisprudencias.
Modificaciones a los criterios.
Asimismo; el Director General de Coordinación y Vigilancia de la Administración publica Federal presento los avances del grupo de Jurisprudencia"" al resto de los miembros  de la RTA.
3. Validación del sistema de seguimiento o y evaluación.

En lo atinente a este punto; es dable mencionar que se acordó que el control de gestión de los planes de trabajo tendrá las siguientes características: la verificación de lo planificado; la aplicación de forma periódica; y contemplara la participación de todos los países; y así también permitirá los ajustes para la retroalimentación.

Por lo anterior; se estableció el calendario del proceso de control de gestión 2013; y e l registro del cumplimiento de las metas; lo cual; se registrara mediante alertas; mismas que tendrán los colores respectivos de un semáforo. El color rojo corresponderá al nivel de cumplimiento menor al 75%; el amarillo el nivel de cumplimiento entre 75% y 89%; y el verde se referirá al cumplimiento mayoral 90%. AI respecto; es de precisarse que se dejara constancia de los casos en los que no existan avances para reportar en el periodo especifico.

Canales de difuso en


De igual manera; se convino que la difusión de los niveles de cumplimiento de los miembros de la red; se realicen a través de boletines temáticos en cada proceso de control; en los cuales quedara testimonio de los avances y; en caso de que no existan; no se elaborara un boletín especifico ; perdiendo la oportunidad de difundir el trabajo realizado.

4. Presentación de proyectos por país con fuentes de financiamiento según etapa.


""Jurisprudencia”
Coordinador: México


En esta actividad; se reviso el diagnostico del tipo de información que en materia de ""Acceso a la Información"" posee cada país; así también; se definió la propuesta del vinculo electrónico; de la ficha técnica y de las definiciones de ""criterio""; de las cuales hará uso el grupo.

Además; se estableció el formato de la hoja de datos y se hicieron  aclaraciones  respecto del proceso que se va a utilizar para llegar a las conclusiones de las fichas técnicas para; finalmente; consolidar los indicadores; revisando las acciones ejecutadas a la fecha y las que se encuentren pendientes.

Adicionalmente; es de señalar que el IFAI ya esta trabajando en el portal electrónico y en los ajustes del documento ""identificación de las diferencias y similitudes"". Cabe referir que; hasta la primera semana de mayo; se podrán enviar comentarios al respecto y la información de los países que aun no lo han hecho; y que quieran ser parte del vinculo electrónico de ""Jurisprudencia”.
""Capacitación""

En este apartado; se dio a conocer el ""Plan de Capacitación""  que tiene como objetivos principales los siguientes:

• Promover  el  acceso  a  instrumentos  y  mecanismos  de  conocimiento  para  todas   las instituciones miembros de la RTA; (legislación; casos; cursos; piezas de difusión; expertos);

• Mejorar las competencias de los integrantes de las organizaciones garantes en los aspectos clave para el cumplimiento de los cometidos;

• impulsar el intercambio  de conocimientos  entre  los miembros de  la RTA para  uniformar
criterios y conceptos;

• Capacitar  a  los  sujetos  obligados  y  las  personas  de  los  países  miembros  de  la  RTA;
aprovechando los recursos ya existentes y los que se generen; y

• Facilitar el intercambio de experiencias entre las distintas instituciones que integra n la RTA.

El  plan fue  presentado  describiendo  las distintas  actividades  con sus indicadores  y  medias  de
verificación.

La Unidad de Acceso a la Información Publica de Uruguay refirió que cubrirá un alto porcentaje de las costas; pero necesita apoyo para la realización de 2 talleres de capacitación; e implementar el programa de intercambio de experiencias.

Para lo anterior; se acordó colaborar en conjunto con ""Euro Social"";  en la ejecución  de un nuevo
portal; mediante el cual se podrán satisfacer las siguientes necesidades:


• Aplicación del ""repositorio de información"" con una clasificación adecuada.

• implementación de una ""comunidad d"" para la RTA.

• Definición de temáticas prioritarias para la realización de debates o foros de intercambio.

• Realización de; al menos; un debate o foro de discusión en la comunidad de RTA.

• Rediseño del portal de la  RTA.

• implementación del ""testing"" de usuarios.

• Envio de boletines a miembros; sujetos obligados y organizaciones  de la sociedad civil.

• Publicación de documentos digitales en los portales de la RTA y de los sujetos obligados (documentos; noticias e imágenes).

""Archivos"" Coordinador: Chile

Sobre el particular; en esta segunda  etapa; se explico que la actividad estará  relacionada con la identificación de buenas practicas; a través de un taller de trabajo con miembros y expertos en la
materia. El insumo de este proyecto se establecerá mediante el diagnostico realizado en materia de archives de los países miembros. La formalización considera la aprobación de los miembros de la RTA de las buenas practicas que se identifiquen y su difusión; las cuales se consolidaran en un documento.

""indicadores""
Coordinador: Perú


En este apartado; se presento el estudio de indicadores en la región; el cual tuvo como objetivo general identificar y evaluar la forma en la que los distintos organismos públicos de los países que participan en la RTA; cumplen con el procedimiento lega l para hacer efectivo el derecho de acceder a información publica; esto es; la manera en que reciben y responden las solicitudes de información que presentan las personas; tanto de manera presencial; como por vía electrónica.

Por otra parte; se expusieron los objetivos específicos del estudio mencionado; a saber:


a) identificar el nivel de implementación de las condiciones mínimas para  la  adecuada atención de las solicitudes de acceso a la información publica; a partir de la detección de las barreras que enfrentan los ciudadanos al momento de presentar sus solicitudes de información;
identificar el cumplimiento de los plazos previstos en la normativa de acceso a la información publica correspondiente a cada país que integra la RTA; y

c) Evaluar el tipo; la calidad y la oportunidad de las respuestas recibidas a las solicitudes de información ingresadas; de forma presencia I y vía internet.

5. . Validación de los protocolos de comunicación.


No se omite mencionar; que se le entreg6 a cada  uno  de  los  miembros  e l ""protocolo  de comunicaciones""; el cual debe ser ajustado con el grupo de ""Capacitación y Difusión"" y con la Presidencia. De la misma manera; se hizo especial énfasis en la construcción del ""Boletín de Noticias”; respecto del que se acord6 incluir temas; en relación con el trabajo de la sociedad civil y eventos pr6ximos.

6.  Presentación de resultados: ""Usuario Simulado"".


La Defensoria del Pueblo del Perú hizo una detallada presentación sabre los resultados del ""Usuario Simulado""; para precisar algunos datos entregados; destacándose el trabajo que realiz6 la Defensora como coordinador del tema de indicadores . Asimismo; se organizo el panel del día siguiente; en el cual se presentaron los principales resultados de este estudio. En este panel participaron Chile; Perú y México.
7. Compromiso de medición 2.0: ""Usuario Simulado"".


El CPLT refirió que esta dispuesto a apoyar con la nueva medición del ""Usuario Simulado"" a la Defensoria del Pueblo del Perú; trabajando en una propuesta de metodología para esta segunda etapa; y haciéndose cargo del análisis de datos. No se omite referir; que varios países se sumaron a esta  iniciativa.


 
Durante el desarrollo de la jornada de trabajo; la Comisionada María Elena Perez-Jaen Zermeño se comprometió a entregar a la Defensoria el documento denominado ""Estudio de la Métrica""; el cual; también se basa en la metodología de  ""Usuario Simulado""; con el objeto de aportar elementos adicionales que podrán ser tornados en la medición 2.0.

Adicionalmente; la Comisionada Perez-Jaen come
",No disponible,No disponible,No disponible,IFAI,Aéreo,Aeroméxico,AM010,Aeroméxico,AM8001,21/04/2013,26/04/2013,26120,13156.07,IFAI,Eurotel,22/04/2013,26/04/2013,555.74,13156.07,0,436.63,No aplica
No disponible,Secretaria General,Secretaria General,Técnico,2013.I.0006,ALMA ZULEMA TOVAR FIGUEROA,DIRECTORA DE GESTION DOCUMENTAL,MC2,Internacional,No disponible,IFAI/SG/044/2013,México,Distrito Federal,Ciudad de México,Colombia,Bogotá,Cundinamarca,450,USD,Capacitación y Cultura de la Transparencia,Recibir capacitación,CURSAR EL SEGUNDO SEMESTRE DE LA MAESTRIA DE GESTION DOCUMENTAL Y ADMINISTRACION DE ARCHIVOS,No disponible,03/03/2013,16/03/2013,"CURSAR EL SEGUNDO SEMESTRE DE LA MAESTRIA DE GESTION DOCUMENTAL Y ADMINISTRACION DE ARCHIVOS; QUE SE IMPARTE EN LA UNIVERSIDAD DE LA SALLE; EN LA CIUDAD DE BOGOTA; COLOMBIA; EN EL MARCO DEL CONVENIO DE APORTACION DE RECURSOS QUE CELEBRAN EL CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA ""CONACYT"" Y EL ARCHIVO GENERAL DE LA NACION ""AGN"".",No disponible,"En seguimiento a/ plan de estudio; se anexa copla del horario de c/ases; por lo anterior y con el propósito de brindar mayor información respecto de las mismas; a continuación
se señalan los principales temas que comprende cada materia:


IDENTIFICACION Y VALORACION DOCUMENTAL. La impartición  de la materia busca plantear una apreciación técnica de los documentos ; partiendo de principios y criterios de valoración que conlleven a la determinación de una metodología que posibilite determinar el valor de los distintos documentos en el ciclo de vida; independiente mente del media en el que se encuentran ya sean físicos; magnéticos 6 electrónicos; procurando determinar en la valoración; no s61o un elemento como un activo econ6mico y de valor administrativo; sino también como un bien cultural; patrimonial y un documento hist6rico.

FORMULACION Y CONTROL DE PROYECTOS

Debido a la relevancia de los elementos que ofrecen un esquema estructura lo metodol6gico para asumir los retos en la programación y ejecución de las actividades que requieren una organización adecuada; las diferentes esferas de la gerencia de proyectos obedecen plenamente a la significancia del ""querer hacer"" y del ""poder hacer"" las cosas de manera profesional de manera exitosa; este esquema es lo que se debe realizar en el día a día para la obtención de resultados conforme el estado del arte deseado en la ejecución de un proyecto; debido a que exige niveles de planeación y control para optimizar recursos y llegar a la obtención de resultados.

INVESTIGACION APLICADA; I

investigación Aplicada es un espacio educativo que hace parte de la producción y gestión de conocimiento de la Maestría; que se encarga de la elaboración de proyectos de investigación por parte de los estudiantes; en un ejercicio de autoconstrucción del documento que aplica el conocimiento adquirido a través de la malla curricular en términos de la integración de los conocimientos de archivística y gestión documental en un contexto caracterizado por la tecnología; la informática; la gestión y la administración de información.

NORMAS INTERNACIONAL ES PARA DESCRIPC ION DE DOCUMENTOS

El estudio de la materia se basa en la aplicación y desarrollo de la 23 edición de la norma ISAD(G); adoptada por el Comité de Normas de descripción del Consejo internacional de Archives en septiembre de 1997. Su objetivo fundamental es la creación de conjuntos de descripciones coherentes y aplicables a todos los tipos de archives; fondos o documentos. Dichos conjuntos de descripciones han de estar relacionados  entre si como parte de una estructura descriptiva que; basada en el
principio de   procedencia; organice la información en niveles. Es lo que se denomina 
descripción multinivel; en la que el fondo es el primer nivel de información (y el mas amplio) y la descripción de cada una de sus partes constituye los niveles inferiores. Así; un fondo se puede dividir en subfondos o secciones; que a su vez se pueden dividir en series; las cuales; estarán formadas por conjuntos de expedientes o documentos; etc.
PRODUCCION DE DOCUMENTOS EN LAS ORGANIZACIONES

La materia brinda conocimientos teóricos y aplicados para actuar como auditor de requisitos de información y documentales en  las organizaciones;  gestor  de  la información interna de la empresa; gestor de la pirámide documental en departamentos o servicios de despliegue y evaluación de sistemas de calidad; medioambientales y de seguridad; profundiza en la formación en gestión de requisitos legales; operativos y sociales para la continuidad de negocio mediante el aprendizaje de técnicas de recepción de información; análisis e identificación de requisitos de gestión documental; contribuye a formar un profesional capaz de actuar en entornos de producción y de negocio normalizados de modo eficiente e innovador; dado que la metodología seguida se corresponde con las propuestas normalizadas de gestión de sistemas documentales y facilita la integración de un profesional que es capaz de responder a las necesidades y expectativas de usuarios tanto en entornos convencionales como electrónicos .",No disponible,"Se efectuó satisfactoriamente la fase presencial de la capacitación en ""Gestión Documental y Administración de Archivos""; reforzando los conocimientos en dicha materia. Se participo en su totalidad en las lecciones correspondientes al programa; las cuales permitieron adquirir al participante; nuevos conocimientos para resolver las problemáticas en cuanto a la gestión documental y el manejo de sus archivos; desde un enfoque tridimensional implementando la gestión de los proyectos archivísticos; las tecnologías de la información y la gestión documental; lo cual; le permitirá al participante emprender acciones y estrategias en breve plazo en el Instituto para optimizar el Archivo de Concentración y Archivos de Tramite; de conformidad con las nuevas disposiciones de la Ley Federal de Archivos
",No disponible,IFAI,Aéreo,Avianca,AV 23,Avianca,AV 72,03/03/2013,16/03/2013,11594,No disponible,IFAI,Hotel Boutique Alma,03/03/2013,15/03/2013,No disponible,No disponible,No disponible,No disponible,No aplica
Invitación,Universidad Autónoma de Puebla,Presidencia,Alto nivel,2013.N.0016,ALFONSO OÑATE LABORDE,SECRETARIO DE PROTECCION DE DATOS PERSONALES,IA1,Nacional,No disponible,IFAI/DTP/GLR/008/2013,México,Distrito Federal,Ciudad de México,México,Puebla,Puebla,1650,MXP,Normatividad de Datos Personales,Participación en evento publico,"Primer foro ""Datos Personales: La frontera de su protección""",No disponible,11/02/2013,11/02/2013,No disponible,No disponible,"Se presento un ponencia titulada ""Regulación y nuevos alcances de la Protección de datos en posesión de particulares""",Se destaco la necedad de la protección de datos en poder de entidades publicas,No disponible,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,11/02/2013,11/02/2013,260,No disponible,No aplica,No aplica,No aplica,No aplica,No aplica,260,0,260,No aplica
Invitación,Canacintra,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0033,SARAI CRUZ GARCIA,JEFE DE DEPARTAMENTO DE PROGRAMACION DE CAPACITACION DE ACCESO ,OC1,Nacional,No disponible,IFAI/SG/DGCPRI/239/2013,México,Distrito Federal,Ciudad de México,México,Puebla,Puebla,1250,MXP,Normatividad de Datos Personales,Impartir capacitación,No disponible,No disponible,29/04/2013,29/04/2013,CAPACITAR A LAS EMPRESAS ASOCIADAS A LA CANACINTRA PUEBLA EN MATERIA DE LA LEY FEDERAL DE PROTECCION DE DATOS PERSONALES EN POSESION DE LOS PARTICULARES A TRAVES DE UN CURSO PRESENCIAL DE 5 HORAS.,No disponible,Revisión de la LFPDPP y su Reglamento,Se asistió a diversas empresas de la Cana Sintra en materia de datos personales,Apoyar en las tareas del instituto relacionadas con el derecho de protección de datos personales,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,29/04/2013,29/04/2013,No disponible,314.5,No aplica,No aplica,No aplica,No aplica,No aplica,252,62.5,310.5,No aplica
Invitación,No disponible,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0032,MIGUEL ANGEL GUZMAN SANCHEZ,JEFE DE DEPARTAMENTO DE ASESORIA PERSONALIZADA,OC3,Nacional,No disponible,IFAI/SG/DGCPRI/216/2013,México,Distrito Federal,Ciudad de México,México,Guanajuato,León,1250,MXP,Capacitación y Cultura de la Transparencia,Participación en evento publico,Feria Nacional del Libro,No disponible,25/04/2013,30/04/2013,ASISTIR A LA FERIA NACIONAL DEL LIBRO PARA PROMOVER Y DIFUNDIR EL EJERCICIO DEL DERECHO DE ACCESO A LA INFORMACION Y PROTECCION DE DATOS PERSONALES A TRAVES DE LA ORIENTACION; ASESORIA Y ENTREGA DE MATERIALES DE DIVULGACION A LAS PERSONAS QUE ASISTAN AL MODULO ITINERANTE DEL CENTRO DE ATENCION A LA SOCIEDAD DEL IFAI QUE SE INSTAURARA EN DICHO EVENTO.,No disponible,Inducción en el uso de herramientas informáticas diseñadas por el IFAI (INFOMER; POT),Asesoramiento sobre procedimientos de acceso a la información; funciones y atribuciones del instituto,Reconocimiento del IFAI entre las sociedades del Bajío,No disponible,IFAI,Aéreo,Aeroméxico,AM 130,Aeroméxico,AM 131,25/04/2013,30/04/2013,7448,6250,IFAI,Mateos 1215,25/04/2013,30/04/2013,2495,5628,625,0,No aplica
Requerimiento de UR,Dirección General de Verificación,Dirección General de Verificación,Técnico,2013.N.0031,JUAN RAFAEL REYES MURILLO,SUBDIRECTOR DE VERIFICACION VOLUNTARIA A,NC1,Nacional,No disponible,IFAI/SPDP/DGV/320/2013,México,Distrito Federal,Ciudad de México,México,Veracruz,Cordoba,1250,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Verificación,Verificación del expediente IFAI.3S.07.02-006/2013,No disponible,22/04/2013,24/04/2013,PRACTICAR LA VISITA DE VERIFICACION ORDENADA EN EL EXPEDIENTE NO. IFAI.3S.07.02-006/2013.,No disponible,Realizar visita de verificación en términos de las relaciones establecidas en la orden de verificación y oficio de comisión ,Se llevo a acabo la visita en cumplimiento de la orden de verificación y cumplimiento de la comisión,No disponible,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,22/04/2013,24/04/2013,752,1747,IFAI,Mansur,22/04/2013,24/04/2013,1040,1706,41,No disponible,No aplica
Requerimiento de UR,Dirección General de Verificación,Dirección General de Verificación,Técnico,2013.N.0030,ROBERTO OROZCO MARTINEZ,DIRECTOR DE VERIFICACION,MC1,Nacional,No disponible,IFAI/SPDP/DGV/319/2013,México,Distrito Federal,Ciudad de México,México,Veracruz,Cordoba,1250,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Verificación,Verificación del expediente IFAI.3S.07.02-006/2013,No disponible,22/04/2013,24/04/2013,PRACTICAR LA VISITA DE VERIFICACION ORDENADA EN EL EXPEDIENTE NO. IFAI.3S.07.02-006/2013.,No disponible,Realizar visita de verificación en términos de las relaciones establecidas en la orden de verificación y oficio de comisión ,Se llevo a acabo la visita en cumplimiento de la orden de verificación y cumplimiento de la comisión,No disponible,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,22/04/2013,24/04/2013,752,1911.5,IFAI,Mansur,22/04/2013,24/04/2013,1040,1873.5,38,No disponible,No aplica
